pt cod_pf cod_pt
-3.0000e-01 6.600151e-06 0.000000e+00
-2.5714e-01 1.199540e-05 0.000000e+00
-2.1429e-01 -5.792225e-05 0.000000e+00
-1.7143e-01 1.716071e-02 1.727818e-02
-1.2857e-01 2.419621e-02 2.422809e-02
-8.5714e-02 2.818706e-02 2.824958e-02
-4.2857e-02 3.029016e-02 3.033298e-02
0.0000e+00 3.095747e-02 3.099869e-02
4.2857e-02 3.027400e-02 3.031661e-02
8.5714e-02 2.815023e-02 2.820742e-02
1.2857e-01 2.420073e-02 2.424962e-02
1.7143e-01 1.714156e-02 1.723249e-02
2.1429e-01 -4.523223e-05 0.000000e+00
2.5714e-01 1.698495e-05 0.000000e+00
3.0000e-01 8.585585e-06 0.000000e+00
