pt cod_pf cod_pt
-3.0000e-01 3.984759e-05 0.000000e+00
-2.5714e-01 9.844732e-05 0.000000e+00
-2.1429e-01 1.339993e-03 0.000000e+00
-1.7143e-01 1.687909e-02 1.759122e-02
-1.2857e-01 2.306571e-02 2.376171e-02
-8.5714e-02 2.665337e-02 2.733704e-02
-4.2857e-02 2.863169e-02 2.931086e-02
0.0000e+00 2.924768e-02 2.992072e-02
4.2857e-02 2.860916e-02 2.928349e-02
8.5714e-02 2.670598e-02 2.738604e-02
1.2857e-01 2.315336e-02 2.386412e-02
1.7143e-01 1.700748e-02 1.775067e-02
2.1429e-01 1.374243e-03 0.000000e+00
2.5714e-01 9.922645e-05 0.000000e+00
3.0000e-01 4.999257e-05 0.000000e+00
