pt cod_pf cod_pt
-3.0000e-01 2.548725e-05 0.000000e+00
-2.5714e-01 6.911356e-05 0.000000e+00
-2.1429e-01 7.751551e-05 0.000000e+00
-1.7143e-01 1.698469e-02 1.729052e-02
-1.2857e-01 2.323387e-02 2.349905e-02
-8.5714e-02 2.672985e-02 2.698714e-02
-4.2857e-02 2.863800e-02 2.889465e-02
0.0000e+00 2.930733e-02 2.955188e-02
4.2857e-02 2.877535e-02 2.903018e-02
8.5714e-02 2.695569e-02 2.721141e-02
1.2857e-01 2.346677e-02 2.374215e-02
1.7143e-01 1.715860e-02 1.747832e-02
2.1429e-01 2.870035e-05 0.000000e+00
2.5714e-01 5.772085e-05 0.000000e+00
3.0000e-01 2.838406e-05 0.000000e+00
