pt cod_pf cod_pt
-3.0000e-01 4.248987e-06 0.000000e+00
-2.5714e-01 1.270099e-05 0.000000e+00
-2.1429e-01 -1.786990e-05 0.000000e+00
-1.7143e-01 1.692661e-02 1.690971e-02
-1.2857e-01 2.416242e-02 2.418497e-02
-8.5714e-02 2.820239e-02 2.823126e-02
-4.2857e-02 3.037496e-02 3.038818e-02
0.0000e+00 3.107646e-02 3.109397e-02
4.2857e-02 3.039737e-02 3.040484e-02
8.5714e-02 2.823718e-02 2.824610e-02
1.2857e-01 2.414795e-02 2.416275e-02
1.7143e-01 1.690761e-02 1.698482e-02
2.1429e-01 -3.670229e-05 0.000000e+00
2.5714e-01 9.165026e-06 0.000000e+00
3.0000e-01 4.505301e-06 0.000000e+00
