pt cod_pf cod_pt
-3.0000e-01 1.051734e-04 0.000000e+00
-2.5714e-01 3.399358e-04 0.000000e+00
-2.1429e-01 6.048407e-03 3.094212e-03
-1.7143e-01 1.581575e-02 1.746791e-02
-1.2857e-01 2.109806e-02 2.285546e-02
-8.5714e-02 2.431809e-02 2.609476e-02
-4.2857e-02 2.612352e-02 2.790919e-02
0.0000e+00 2.665522e-02 2.841919e-02
4.2857e-02 2.608240e-02 2.785071e-02
8.5714e-02 2.429613e-02 2.607085e-02
1.2857e-01 2.101916e-02 2.279336e-02
1.7143e-01 1.574038e-02 1.736170e-02
2.1429e-01 6.034167e-03 0.000000e+00
2.5714e-01 3.370476e-04 0.000000e+00
3.0000e-01 8.811387e-05 0.000000e+00
